order_book_id,date,volume,prev_close,close,low,high,open,total_turnover
000906.XSHG,2023-03-28,27105122100.0,4398.1901,4381.9254,4376.6518,4408.3883,4401.3404,423672203581.6
000906.XSHG,2023-03-29,26529179400.0,4381.9254,4383.7641,4369.338,4398.0694,4394.4218,430432346757.3
000906.XSHG,2023-03-30,27311963600.0,4383.7641,4414.6484,4357.3096,4416.3487,4385.9973,435163360758.8
000906.XSHG,2023-03-31,26833238100.0,4414.6484,4434.4583,4417.7119,4441.3451,4420.016,444002654858.5
000906.XSHG,2023-04-03,34604536100.0,4434.4583,4480.0298,4442.7515,4484.5682,4442.7515,598226085823.2
000906.XSHG,2023-04-04,35463838600.0,4480.0298,4489.2857,4464.9214,4489.2857,4479.1822,613184088677.6
000906.XSHG,2023-04-06,29476782200.0,4489.2857,4485.499,4464.9206,4488.8937,4469.9776,535984646347.9
000906.XSHG,2023-04-07,25664136300.0,4485.499,4515.7411,4481.9684,4521.5132,4485.968,464305208423.1
000906.XSHG,2023-04-10,29758718900.0,4515.7411,4490.9629,4483.6046,4524.9223,4524.7167,544220420144.0
000906.XSHG,2023-04-11,29630044200.0,4490.9629,4489.0734,4469.6834,4499.4228,4493.0623,512993289842.0
000906.XSHG,2023-04-12,31541323400.0,4489.0734,4490.8677,4481.3665,4500.9776,4489.9517,513590022986.7
000906.XSHG,2023-04-13,31264386800.0,4490.8677,4460.8825,4451.697,4485.4754,4477.0339,496322035774.1
000906.XSHG,2023-04-14,29599635000.0,4460.8825,4484.3327,4464.2154,4489.6916,4471.8253,496944532289.7
000906.XSHG,2023-04-17,35759617400.0,4484.3327,4535.9232,4480.5709,4535.9232,4481.2787,538583541100.8
000906.XSHG,2023-04-18,31365547200.0,4535.9232,4544.4545,4524.7125,4550.255,4525.857,516143816541.2
000906.XSHG,2023-04-19,31125436600.0,4544.4545,4508.1245,4501.1936,4541.4116,4541.4116,504623078685.3
000906.XSHG,2023-04-20,31320797100.0,4508.1245,4497.8314,4477.0082,4507.7716,4505.3325,528372254750.5
000906.XSHG,2023-04-21,34311573100.0,4497.8314,4403.3169,4403.273,4498.7942,4498.7942,558654123830.7
000906.XSHG,2023-04-24,31779406200.0,4403.3169,4355.3057,4339.6685,4405.5027,4402.3707,519580589839.1
000906.XSHG,2023-04-25,33501468600.0,4355.3057,4322.599,4278.7117,4360.5849,4356.7207,531957864598.3
000906.XSHG,2023-04-26,31486836000.0,4322.599,4324.2036,4295.6979,4343.7035,4308.357,519762644288.8
000906.XSHG,2023-04-27,29696431200.0,4324.2036,4350.6951,4307.8886,4364.6697,4312.4935,484112959107.8
000906.XSHG,2023-04-28,34738497000.0,4350.6951,4398.8026,4353.4595,4400.4253,4353.4595,528272006351.0
000906.XSHG,2023-05-04,43007081600.0,4398.8026,4403.6026,4374.32,4407.9235,4382.8817,560591254150.4
000906.XSHG,2023-05-05,38488794200.0,4403.6026,4381.4915,4362.5168,4414.5805,4403.0657,499912347404.7
000906.XSHG,2023-05-08,45830134000.0,4381.4915,4427.2881,4384.6791,4430.8009,4390.9546,557702447756.2
000906.XSHG,2023-05-09,50369551500.0,4427.2881,4386.9834,4385.3414,4453.842,4428.4506,611859174762.6
000906.XSHG,2023-05-10,38300643700.0,4386.9834,4360.4204,4344.4757,4378.137,4376.2334,489970143319.2
000906.XSHG,2023-05-11,29086956500.0,4360.4204,4351.8671,4349.5226,4377.9951,4369.7951,393327285036.0
000906.XSHG,2023-05-12,28483239200.0,4351.8671,4297.6074,4296.7919,4362.3938,4346.6872,371309342716.5
000906.XSHG,2023-05-15,32610094500.0,4297.6074,4359.4154,4275.8743,4359.4154,4299.0246,439151388128.4
000906.XSHG,2023-05-16,25867438800.0,4359.4154,4333.8147,4322.1487,4363.3251,4362.3156,377288127318.0
000906.XSHG,2023-05-17,22571453400.0,4333.8147,4321.2802,4304.5095,4342.0893,4326.2068,330781235023.1
000906.XSHG,2023-05-18,25947605700.0,4321.2802,4319.089,4301.1301,4344.8101,4327.5205,373691802465.4
000906.XSHG,2023-05-19,23951737500.0,4319.089,4307.7384,4291.1229,4331.9579,4309.0539,354619460809.7
000906.XSHG,2023-05-22,22183228700.0,4307.7384,4327.4571,4296.7213,4343.775,4303.9194,328548968609.5
000906.XSHG,2023-05-23,22978932100.0,4327.45709,4270.5682,4270.5682,4328.7652,4326.3719,310584302001.7
000906.XSHG,2023-05-24,24448167800.0,4270.5682,4218.3029,4218.3029,4261.3939,4259.3534,328682576922.8
000906.XSHG,2023-05-25,23407360100.0,4218.30289,4208.1361,4170.5066,4222.4667,4211.0678,340082857259.8
000906.XSHG,2023-05-26,20670802700.0,4208.1361,4217.0564,4175.2809,4225.1615,4205.5289,314800829710.1
000906.XSHG,2023-05-29,25699938400.0,4217.0564,4201.5064,4188.071,4234.1728,4228.1712,376903935451.0
000906.XSHG,2023-05-30,26493164500.0,4201.5064,4211.1981,4153.6293,4211.6851,4193.4825,396415400394.5
000906.XSHG,2023-05-31,24386347400.0,4211.19809,4177.0255,4156.4807,4199.4748,4199.4748,380259851425.1
000906.XSHG,2023-06-01,26081219600.0,4177.0255,4184.4251,4161.5476,4212.278,4165.5043,396736828330.1
000906.XSHG,2023-06-02,24732184800.0,4184.4251,4238.6963,4198.2635,4242.8669,4198.2635,374770087053.8
000906.XSHG,2023-06-05,23191194200.0,4238.69629,4222.9952,4209.7864,4237.0983,4237.0983,342263066791.5
000906.XSHG,2023-06-06,24882664500.0,4222.9952,4173.0327,4166.25,4238.3901,4218.3867,355727955427.6
