date,open,close,high,low,volume,amount,symbol
20121214,274.87,278.43,278.57,274.85,275343700,2810835088.0,000832.SH
20121217,278.69,279.86,280.36,278.66,198333000,2033450352.0,000832.SH
20121218,279.89,280.03,280.74,279.19,169470300,1750673520.0,000832.SH
20121219,280.07,279.77,280.54,279.68,107129500,1113894832.0,000832.SH
20121220,279.75,279.34,279.75,278.86,117267900,1199689792.0,000832.SH
20121221,279.42,278.97,280.12,278.92,124216000,1287648448.0,000832.SH
20121224,278.99,278.12,279.83,277.81,86346000,889041712.0,000832.SH
20121225,278.05,280.68,280.99,277.78,160390700,1651043872.0,000832.SH
20121226,280.75,280.6,281.41,280.22,143341700,1488607456.0,000832.SH
20121227,280.67,280.91,281.13,280.1,132506500,1373522416.0,000832.SH
20121228,280.78,281.31,281.47,280.4,116738500,1220506496.0,000832.SH
20121231,281.44,282.5,282.98,281.16,336205100,3445969264.0,000832.SH
20130104,284.02,284.67,289.17,282.87,201961100,2136417312.0,000832.SH
20130107,284.62,284.7,284.96,284.07,185119400,1942030720.0,000832.SH
20130108,284.66,284.11,285.15,283.93,154618600,1621418128.0,000832.SH
20130109,284.1,284.55,284.99,283.84,139980700,1486309776.0,000832.SH
20130110,284.77,286.85,286.92,284.68,210833800,2221937328.0,000832.SH
20130111,286.94,286.1,288.18,285.73,195226900,2068936832.0,000832.SH
20130114,285.98,291.09,291.21,285.71,217303700,2322445152.0,000832.SH
20130115,291.2,293.9,294.29,291.08,249210700,2699809824.0,000832.SH
20130116,293.75,295.23,295.3,292.65,276119800,3004534832.0,000832.SH
20130117,295.0,294.89,295.19,293.96,224979700,2450459376.0,000832.SH
20130118,294.97,296.3,296.58,294.81,266435400,2930707312.0,000832.SH
20130121,296.39,297.2,297.95,295.85,218134400,2388698544.0,000832.SH
20130122,297.39,296.18,297.52,295.22,242521200,2681845504.0,000832.SH
20130123,295.81,295.39,296.17,294.46,154700300,1681000560.0,000832.SH
20130124,295.45,294.28,298.62,293.33,331888400,3596919584.0,000832.SH
20130125,294.43,292.12,294.96,291.81,177806700,1942537568.0,000832.SH
20130128,292.03,295.87,295.89,292.03,165110200,1780315744.0,000832.SH
20130129,295.99,296.6,296.69,295.1,149941200,1654344400.0,000832.SH
20130130,296.67,298.25,298.49,295.59,189036900,2052211600.0,000832.SH
20130131,302.88,304.03,306.17,302.33,452098300,4930159872.0,000832.SH
20130201,303.87,306.14,306.32,303.07,227577900,2518804064.0,000832.SH
20130204,306.22,305.5,307.58,305.2,245849100,2765848128.0,000832.SH
20130205,305.21,304.66,305.21,302.95,256104000,2866110800.0,000832.SH
20130206,304.6,305.06,305.21,304.26,78632900,889583040.0,000832.SH
20130207,305.23,305.49,305.52,303.08,173006100,1968346608.0,000832.SH
20130208,305.39,307.2,307.48,305.09,183406300,2036773344.0,000832.SH
20130218,307.65,307.06,308.68,307.06,116987300,1351016720.0,000832.SH
20130219,307.09,304.97,307.75,304.73,192807200,2200663408.0,000832.SH
20130220,305.05,306.54,306.61,304.25,164293400,1886639248.0,000832.SH
20130221,306.26,302.3,306.26,301.03,309281800,3486748112.0,000832.SH
20130222,302.31,299.9,302.57,299.74,205622800,2295455776.0,000832.SH
20130225,300.02,300.16,302.01,299.57,173029700,1921572240.0,000832.SH
20130226,300.11,299.0,301.65,298.8,155673100,1766383152.0,000832.SH
20130227,299.18,299.2,300.88,298.26,139553200,1565476112.0,000832.SH
20130228,299.55,302.65,302.69,298.97,172515600,1928885328.0,000832.SH
20130301,302.85,302.83,303.84,301.12,126714100,1433860944.0,000832.SH
20130304,302.48,297.24,302.48,296.73,351807300,3824996416.0,000832.SH
20130305,297.31,298.59,298.91,295.43,255943200,2794328960.0,000832.SH
20130306,299.05,301.36,301.52,299.01,166544700,1862798832.0,000832.SH
20130307,301.69,300.64,302.59,299.7,209676700,2327033312.0,000832.SH
20130308,300.72,301.23,301.66,300.55,135680900,1523682400.0,000832.SH
20130311,301.23,299.97,301.43,299.52,116009500,1283395104.0,000832.SH
20130312,300.03,299.86,302.37,298.98,201321900,2273567776.0,000832.SH
20130313,299.7,298.77,300.13,298.15,154430500,1719682384.0,000832.SH
20130314,298.76,298.42,299.09,298.21,96979500,1070221872.0,000832.SH
20130315,298.41,298.9,300.9,298.12,135641200,1494629856.0,000832.SH
20130318,298.9,296.85,299.25,296.64,108866900,1206130688.0,000832.SH
20130319,296.86,296.87,297.45,296.02,143312000,1596939504.0,000832.SH
20130320,296.95,300.2,300.27,296.82,248442500,2764256096.0,000832.SH
20130321,300.29,302.15,302.72,300.21,244314300,2734879024.0,000832.SH
20130322,302.2,304.83,304.94,302.19,181771000,2057678736.0,000832.SH
20130325,304.99,306.0,306.18,304.84,191358300,2151427792.0,000832.SH
20130326,305.97,303.9,306.01,303.0,173157700,1918159008.0,000832.SH
20130327,304.15,303.54,305.19,303.17,163251500,1809249888.0,000832.SH
20130328,301.82,298.71,301.82,297.76,310712700,3369868704.0,000832.SH
20130329,299.0,298.3,299.23,297.93,161682400,1753910832.0,000832.SH
20130401,298.18,298.57,298.99,298.14,215725500,2331149408.0,000832.SH
20130402,298.65,297.48,299.99,297.3,205349300,2219139568.0,000832.SH
20130403,297.58,297.34,298.42,297.05,192999400,2091506048.0,000832.SH
20130408,296.38,297.03,297.18,295.09,167096300,1796847136.0,000832.SH
20130409,297.08,299.08,299.41,297.08,173560200,1883384608.0,000832.SH
20130410,299.26,299.23,299.72,298.32,196490600,2147842944.0,000832.SH
20130411,299.62,300.44,300.75,299.58,177203200,1952650976.0,000832.SH
20130412,300.49,299.93,300.8,299.61,165377900,1814456560.0,000832.SH
20130415,299.84,297.21,299.95,297.19,198014800,2150433328.0,000832.SH
20130416,296.86,297.2,297.28,294.75,254484900,2764753856.0,000832.SH
20130417,297.2,296.42,297.54,295.98,126025300,1366711072.0,000832.SH
20130418,296.13,295.97,296.41,295.29,132154900,1426678256.0,000832.SH
20130419,296.16,299.44,299.57,296.16,271057500,2963215136.0,000832.SH
20130422,299.24,297.77,299.63,297.57,1244400,1350905296.0,000832.SH
20130423,297.95,293.7,298.09,293.46,2291400,2453710464.0,000832.SH
20130424,293.89,295.28,295.87,293.47,1485700,1613130320.0,000832.SH
20130425,295.19,295.1,296.38,294.53,1504400,1646461232.0,000832.SH
20130426,295.31,294.66,295.9,294.6,863300,944195024.0,000832.SH
